CUSTOMER_ID;CUSTOMER_FIRST_NAME;CUSTOMER_LAST_NAME;CUSTOMER_EMAIL;CUSTOMER_GENDER;CUSTOMER_BIRTH_DATE
1;Lukas;MÃ¼ller;lukas.mueller@ibs-ol.de;m;1985-04-12 00:00:00
2;Sophia;Schmidt;sophia.schmidt@ibs-ol.de;w;1992-07-19 00:00:00
3;Maximilian;Weber;maximilian.weber@ibs-ol.de;m;1978-09-23 00:00:00
4;Emilia;Fischer;emilia.fischer@ibs-ol.de;w;1989-11-03 00:00:00
5;Paul;Wagner;paul.wagner@ibs-ol.de;m;1965-02-14 00:00:00
6;Hannah;Becker;hannah.becker@ibs-ol.de;w;1995-08-25 00:00:00
7;Felix;Hoffmann;felix.hoffmann@ibs-ol.de;m;1983-12-05 00:00:00
8;Mia;Schneider;mia.schneider@ibs-ol.de;w;2001-03-17 00:00:00
9;David;SchÃ¤fer;david.schaefer@ibs-ol.de;m;1971-10-10 00:00:00
10;Lea;Neumann;lea.neumann@ibs-ol.de;w;1990-06-29 00:00:00
11;Jonas;Koch;jonas.koch@ibs-ol.de;m;1975-05-12 00:00:00
12;Emma;Bauer;emma.bauer@ibs-ol.de;w;1988-08-08 00:00:00
13;Elias;Richter;elias.richter@ibs-ol.de;m;1960-12-22 00:00:00
14;Marie;Winkler;marie.winkler@ibs-ol.de;w;1993-01-02 00:00:00
15;Benjamin;Schulz;benjamin.schulz@ibs-ol.de;d;1987-04-14 00:00:00
16;Laura;Schmidt;laura.schmidt@ibs-ol.de;w;1996-11-18 00:00:00
17;Niklas;Klein;niklas.klein@ibs-ol.de;m;1991-03-20 00:00:00
18;Anna;SchÃ¤fer;anna.schaefer@ibs-ol.de;w;1999-07-01 00:00:00
19;Tom;Mayer;tom.mayer@ibs-ol.de;m;1970-09-11 00:00:00
20;Jana;BÃ¶hm;jana.boehm@ibs-ol.de;w;1982-10-05 00:00:00
21;Leon;Haas;leon.haas@ibs-ol.de;m;1968-06-18 00:00:00
22;Lara;Seidel;lara.seidel@ibs-ol.de;w;1997-12-30 00:00:00
23;Tim;Dietrich;tim.dietrich@ibs-ol.de;m;1986-02-09 00:00:00
24;Julia;Kunz;julia.kunz@ibs-ol.de;w;1994-04-13 00:00:00
25;Philipp;Wolff;philipp.wolff@ibs-ol.de;m;1977-11-27 00:00:00
26;Sara;Lange;sara.lange@ibs-ol.de;w;2000-05-03 00:00:00
27;Tobias;Hartmann;tobias.hartmann@ibs-ol.de;d;1955-08-12 00:00:00
28;Clara;Vogel;clara.vogel@ibs-ol.de;w;1998-09-16 00:00:00
29;Julian;Schuster;julian.schuster@ibs-ol.de;m;1972-06-26 00:00:00
30;Nina;Heinrich;nina.heinrich@ibs-ol.de;w;1991-11-22 00:00:00
31;Fabian;Brandt;fabian.brandt@ibs-ol.de;m;1966-03-14 00:00:00
32;Melanie;Busch;melanie.busch@ibs-ol.de;w;1989-12-28 00:00:00
33;Kevin;KÃ¶nig;kevin.koenig@ibs-ol.de;m;1979-02-15 00:00:00
34;Lisa;Menzel;lisa.menzel@ibs-ol.de;w;1995-07-07 00:00:00
35;Christian;Otto;christian.otto@ibs-ol.de;m;1963-05-30 00:00:00
36;Vanessa;Kraus;vanessa.kraus@ibs-ol.de;w;1981-09-18 00:00:00
37;Noah;Wirth;noah.wirth@ibs-ol.de;m;1984-11-09 00:00:00
38;Lena;KrÃ¼ger;lena.krueger@ibs-ol.de;w;2002-02-25 00:00:00
39;Samuel;Maurer;samuel.maurer@ibs-ol.de;m;1976-07-14 00:00:00
40;Marlene;Heinz;marlene.heinz@ibs-ol.de;w;1983-08-19 00:00:00
41;Daniel;Schuster;daniel.schuster@ibs-ol.de;m;1952-12-03 00:00:00
42;Johanna;Ebert;johanna.ebert@ibs-ol.de;w;1990-03-29 00:00:00
43;Alexander;Meier;alexander.meier@ibs-ol.de;m;1988-05-21 00:00:00
44;Isabella;Lindner;isabella.lindner@ibs-ol.de;w;1973-01-12 00:00:00
45;Stefan;Hermann;stefan.hermann@ibs-ol.de;m;1978-08-04 00:00:00
46;Claudia;Werner;claudia.werner@ibs-ol.de;d;1992-06-17 00:00:00
47;Marvin;Friedrich;marvin.friedrich@ibs-ol.de;m;1975-09-22 00:00:00
48;Helena;Frank;helena.frank@ibs-ol.de;w;1997-02-06 00:00:00
49;Oliver;Schwarz;oliver.schwarz@ibs-ol.de;m;1980-10-11 00:00:00
50;Franziska;JÃ¤ger;franziska.jaeger@ibs-ol.de;w;1987-07-30 00:00:00
51;Leonard;MÃ¶ller;leonard.moeller@ibs-ol.de;m;1967-11-25 00:00:00
52;Theresa;Lehmann;theresa.lehmann@ibs-ol.de;w;2010-03-08 00:00:00
53;Matthias;Sauer;matthias.sauer@ibs-ol.de;m;1981-04-02 00:00:00
54;Lisa-Marie;Roth;lisamarie.roth@ibs-ol.de;w;1998-01-16 00:00:00
55;Jan;Mayer;jan.mayer@ibs-ol.de;m;1979-08-07 00:00:00
56;Victoria;Huber;victoria.huber@ibs-ol.de;w;2000-10-20 00:00:00
57;Simon;Peters;simon.peters@ibs-ol.de;m;1982-12-15 00:00:00
58;Nadine;Scholz;nadine.scholz@ibs-ol.de;w;1995-09-11 00:00:00
59;Johannes;Reuter;johannes.reuter@ibs-ol.de;m;1957-05-19 00:00:00
60;Anja;Braun;anja.braun@ibs-ol.de;w;1980-06-25 00:00:00
61;Eric;Jung;eric.jung@ibs-ol.de;m;1974-11-30 00:00:00
62;Maria;Fuchs;maria.fuchs@ibs-ol.de;w;1986-02-22 00:00:00
63;Patrick;Stein;patrick.stein@ibs-ol.de;m;1999-03-05 00:00:00
64;Carolin;Vogt;carolin.vogt@ibs-ol.de;w;1994-07-13 00:00:00
