EMPLOYEE_ID;SUPERVISOR_ID;PLACE_OF_SALE_ID;EMPLOYEE_FIRST_NAME;EMPLOYEE_LAST_NAME;EMPLOYEE_EMAIL;EMPLOYEE_GENDER;EMPLOYEE_BIRTH_DATE;EMPLOYEE_PHONE_NUMBER;SALARY_PER_MONTH;PROVISION_RATE;WORKING_HOURS_PER_WEEK;POSITION;DATE_OF_HIRE;BANK_NAME;BIC;IBAN
1;;1;Maria;Schmidt;m.schmidt@ibs-ol.de;w;1975-05-15 00:00:00;+4944112345678;5500.0;2.5;40;Filialleiterin;2010-01-01 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE02280501000012345678
2;1;1;Thomas;Müller;t.mueller@ibs-ol.de;m;1980-08-23 00:00:00;+4944123456789;4500.0;2.0;40;Abteilungsleiter Verkauf;2012-03-15 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE45280618220012345678
3;1;1;Sabine;Weber;s.weber@ibs-ol.de;w;1982-02-10 00:00:00;+4944134567890;4500.0;2.0;40;Abteilungsleiterin Service;2013-06-01 00:00:00;Commerzbank;COBADEFFXXX;DE23280400660012345678
4;2;1;Markus;Becker;m.becker@ibs-ol.de;m;1985-04-05 00:00:00;+4944145678901;3200.0;1.5;38;Verkäufer;2015-09-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE34280700240012345678
5;2;1;Lisa;Hoffmann;l.hoffmann@ibs-ol.de;w;1988-11-18 00:00:00;+4944156789012;3200.0;1.5;38;Verkäuferin;2016-03-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE56280501000023456789
6;2;1;Jan;Koch;j.koch@ibs-ol.de;m;1990-06-30 00:00:00;+4944167890123;3000.0;1.5;35;Verkäufer;2017-07-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE78280618220023456789
7;2;1;Anna;Fischer;a.fischer@ibs-ol.de;w;1992-09-12 00:00:00;+4944178901234;3000.0;1.5;35;Verkäuferin;2018-02-15 00:00:00;Commerzbank;COBADEFFXXX;DE89280400660023456789
8;2;1;Felix;Meyer;f.meyer@ibs-ol.de;m;1987-01-25 00:00:00;+4944189012345;3100.0;1.5;38;Verkäufer;2016-08-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE12280700240023456789
9;3;1;Julia;Wagner;j.wagner@ibs-ol.de;w;1986-03-08 00:00:00;+4944190123456;3300.0;1.0;40;Servicetechnikerin;2014-05-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE34280501000034567890
10;3;1;Michael;Schäfer;m.schaefer@ibs-ol.de;m;1984-07-22 00:00:00;+4944101234567;3300.0;1.0;40;Servicetechniker;2013-11-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE56280618220034567890
11;3;1;Sandra;Klein;s.klein@ibs-ol.de;w;1989-12-14 00:00:00;+4944112345678;3200.0;1.0;38;Servicetechnikerin;2017-01-15 00:00:00;Commerzbank;COBADEFFXXX;DE78280400660034567890
12;1;1;David;Richter;d.richter@ibs-ol.de;m;1983-10-03 00:00:00;+4944123456789;3500.0;1.75;40;Lagerist;2012-04-01 00:00:00;Deutsche Bank;DEUTDE2H280;DE90280700240034567890
13;1;1;Nina;Bauer;n.bauer@ibs-ol.de;w;1991-06-19 00:00:00;+4944134567890;3400.0;1.5;38;Buchhalterin;2018-09-15 00:00:00;Sparkasse Oldenburg;BRLADE21OLD;DE23280501000045678901
14;2;1;Tobias;Schulz;t.schulz@ibs-ol.de;m;1988-02-27 00:00:00;+4944145678901;3100.0;1.5;35;Verkäufer;2017-03-01 00:00:00;Volksbank Oldenburg;GENODEF1EDE;DE45280618220045678901
