CUSTOMER_ID;CUSTOMER_FIRST_NAME;CUSTOMER_LAST_NAME;CUSTOMER_EMAIL;CUSTOMER_GENDER;CUSTOMER_BIRTH_DATE;ADDRESS_ID;COUNTRY;CITY;POSTCODE;STREET;HOUSE_NUMBER;ADDITIONAL_ADDRESS_INFORMATION;TYPE
1;Lukas;MÃ¼ller;lukas.mueller@ibs-ol.de;m;1985-04-12 00:00:00;38;Deutschland;Oldenburg;;Ziegelhofstraße;2;;billing
1;Lukas;MÃ¼ller;lukas.mueller@ibs-ol.de;m;1985-04-12 00:00:00;138;Deutschland;Oldenburg;26121;Ziegelhofstraße;2;;delivery
2;Sophia;Schmidt;sophia.schmidt@ibs-ol.de;w;1992-07-19 00:00:00;39;Deutschland;Oldenburg;;Damm;15;;billing
2;Sophia;Schmidt;sophia.schmidt@ibs-ol.de;w;1992-07-19 00:00:00;139;Deutschland;Oldenburg;26123;Damm;15;;delivery
3;Maximilian;Weber;maximilian.weber@ibs-ol.de;m;1978-09-23 00:00:00;40;Deutschland;Oldenburg;;Mühlenstraße;8;;billing
3;Maximilian;Weber;maximilian.weber@ibs-ol.de;m;1978-09-23 00:00:00;140;Deutschland;Oldenburg;26125;Mühlenstraße;8;;delivery
4;Emilia;Fischer;emilia.fischer@ibs-ol.de;w;1989-11-03 00:00:00;41;Deutschland;Oldenburg;;Wallstraße;21;;billing
4;Emilia;Fischer;emilia.fischer@ibs-ol.de;w;1989-11-03 00:00:00;141;Deutschland;Oldenburg;26127;Wallstraße;21;;delivery
5;Paul;Wagner;paul.wagner@ibs-ol.de;m;1965-02-14 00:00:00;42;Deutschland;Oldenburg;;Huntestraße;33;;billing
5;Paul;Wagner;paul.wagner@ibs-ol.de;m;1965-02-14 00:00:00;142;Deutschland;Oldenburg;26129;Huntestraße;33;;delivery
6;Hannah;Becker;hannah.becker@ibs-ol.de;w;1995-08-25 00:00:00;43;Deutschland;Oldenburg;26121;Peterstraße;7;;billing
6;Hannah;Becker;hannah.becker@ibs-ol.de;w;1995-08-25 00:00:00;143;Deutschland;Oldenburg;26121;Peterstraße;7;;delivery
