EMPLOYEE_ID;HOUSE_NUMBER;CITY;POSTAL_CODE;COUNTRY;STREET;LASTNAME;FORENAME;MIDDLE_NAME;BIRTH_DATE;SALARY;IBAN;TAX_CLASS;WORKING_SINCE;WAREHOUSE_ID;ROLE_ID
1;533;Woodsmouth;32839;Niger;Lisa Harbor;Lang;Heather;Sarah;1973-09-30 00:00:00;137122.0;GB10BMHL68039446435124;2;2020-03-26 05:20:35;1;12
2;48487;East Jeffrey;89995;Russian Federation;Kelly Brooks;Martinez;Mark;Larry;1989-11-18 00:00:00;71835.0;GB69XUTP01807658203452;3;2022-04-15 12:07:01;1;1
3;381;New Richardfort;98287;Armenia;Dennis Summit;Wright;Lori;William;2003-08-08 00:00:00;62730.0;GB22IADD99548938647661;4;2022-01-15 18:50:44;1;1
4;55610;Grossborough;68525;Solomon Islands;Roberts Rest;Brewer;Tracy;Maria;1971-09-13 00:00:00;82849.0;GB38QOGQ73988265615035;5;2020-11-29 15:04:37;1;5
5;49781;Vaughnshire;23809;Tanzania;Hamilton Villages;Gentry;Elizabeth;Jorge;1973-04-07 00:00:00;58648.0;GB25QWUV04801568032663;5;2019-09-26 01:51:51;2;7
6;733;Chadchester;78789;Mexico;Andrew Rue;Beard;Francisco;Jesse;1974-07-16 00:00:00;46551.0;GB76QLZE26567769549232;1;2023-06-21 23:55:07;2;4
7;66135;West Sharon;16437;Romania;Brown Glen;Burke;Jacob;Dustin;1999-01-09 00:00:00;77549.0;GB41SFKD59938748213653;5;2020-04-11 00:28:32;2;5
8;3177;West Charlesbury;82249;Mauritania;Mathews Junctions;Watson;Marissa;Angela;1995-09-22 00:00:00;54462.0;GB58ZHRW20232377608707;3;2024-08-18 09:30:42;1;1
9;8702;Paulton;99431;Afghanistan;Carl Orchard;Collins;Tommy;Steven;1970-05-25 00:00:00;60130.0;GB09LQNA43285983360953;3;2022-01-13 15:29:48;1;8
10;3018;South Carolinestad;19183;Puerto Rico;Kelly Divide;Wilson;Madison;Susan;2005-07-01 00:00:00;48660.0;GB52SRCC05971680307433;3;2022-05-22 23:12:37;2;2
