SUPPLIER_ID;HOUSE_NUMBER;CITY;POSTAL_CODE;STREET;COUNTRY;NAME;IBAN;PHONE_NUMBER;CONTACT_PERSON;CONTACT_PERSON_EMAIL
1;176;South Steventown;96404;Carr Circle;Japan;Allen-Morgan;GB57ARMU01763081697479;(906)693-6213;Megan Jordan;umack@example.com
2;116;Smithmouth;58765;Hernandez Gateway;Gabon;Anderson-Williams;GB48MFJP84005593091199;(484)610-8735;Tanya Bennett;ymorse@example.net
3;134;New Davidchester;56185;Mayo Common;Finland;Lawrence Ltd;GB46CJAE96662284508059;8389356570;Jose Martin;allen98@example.com
4;57;Anitahaven;83106;Houston Crossroad;Peru;Hopkins Inc;GB35YDFB54466900784249;3549511872;Rachel Barrett;melvinjames@example.net
5;159;Port Meghanborough;27896;Wood Ports;Saudi Arabia;Holder Inc;GB86UCPB74263427215594;244-213-7351;Jennifer Wilson;vasquezchelsea@example.com
6;176;Campbellview;43063;Klein Center;French Guiana;Andrews-Cooper;GB40MZFH44719745238843;(438)291-4923;Rhonda Jensen;yeaton@example.net
7;2;Lake Valeriechester;84538;Reeves Plains;Syrian Arab Republic;Young-Rodriguez;GB72KETC87121698840063;6233817945;Daniel Rogers;franklinmargaret@example.com
8;50;South Charlesport;95710;Marie Squares;Hong Kong;Anderson PLC;GB50SHIT81013782620612;967-854-1131;Christina Bates;ortizkelsey@example.net
9;69;Huntside;99382;Moses Curve;Cyprus;Ortega, Miller and Hull;GB71HFQT44041821910012;468-256-6970;Brittany Kim;curryrhonda@example.net
10;21;New Josephfurt;06783;Nicholas Club;Ukraine;Crawford, Rodriguez and Morales;GB11NIVZ95417380780135;(273)279-2978;Michael Page;jason66@example.com
11;7;Petersburgh;77042;Wilson Branch;Guam;Burns-Strong;GB82FEXE53865717301200;2966610002;Jeffery Simpson;shannonparrish@example.net
12;198;Jasonburgh;22336;Galvan Keys;Grenada;Barnes Group;GB46IESC10016586499849;(807)261-6245;Cynthia Thompson;erikjohnson@example.com
13;159;New Joshua;73300;Colon Landing;British Virgin Islands;Brown-Delgado;GB15BVUP77766940590455;(216)485-6937;Michael Thornton;mevans@example.net
