CUSTOMER_ID;STREET;HOUSE_NUMBER;POSTAL_CODE;CITY;MIDDLE_NAME;LASTNAME;IBAN;BIRTH_DATE;CREATED_ON;EMAIL;COUNTRY;FORENAME
1;Ziegelhofstraße;2;26121;Oldenburg;;MÃ¼ller;;1985-04-12 00:00:00;;lukas.mueller@ibs-ol.de;Germany;Lukas
2;Damm;15;26123;Oldenburg;;Schmidt;;1992-07-19 00:00:00;;sophia.schmidt@ibs-ol.de;Germany;Sophia
3;Mühlenstraße;8;26125;Oldenburg;;Weber;;1978-09-23 00:00:00;;maximilian.weber@ibs-ol.de;Germany;Maximilian
4;Wallstraße;21;26127;Oldenburg;;Fischer;;1989-11-03 00:00:00;;emilia.fischer@ibs-ol.de;Germany;Emilia
5;Huntestraße;33;26129;Oldenburg;;Wagner;;1965-02-14 00:00:00;;paul.wagner@ibs-ol.de;Germany;Paul
6;Peterstraße;7;26121;Oldenburg;;Becker;;1995-08-25 00:00:00;;hannah.becker@ibs-ol.de;Germany;Hannah
7;Kurwickstraße;12;26123;Oldenburg;;Hoffmann;;1983-12-05 00:00:00;;felix.hoffmann@ibs-ol.de;Germany;Felix
8;Lindenallee;19;26125;Oldenburg;;Schneider;;2001-03-17 00:00:00;;mia.schneider@ibs-ol.de;Germany;Mia
9;Eichenstraße;28;26127;Oldenburg;;SchÃ¤fer;;1971-10-10 00:00:00;;david.schaefer@ibs-ol.de;Germany;David
10;Birkenweg;36;26129;Oldenburg;;Neumann;;1990-06-29 00:00:00;;lea.neumann@ibs-ol.de;Germany;Lea
11;Seestraße;5;26160;Bad Zwischenahn;;Koch;;1975-05-12 00:00:00;;jonas.koch@ibs-ol.de;Germany;Jonas
12;Bahnhofstraße;10;26180;Rastede;;Bauer;;1988-08-08 00:00:00;;emma.bauer@ibs-ol.de;Germany;Emma
13;Oldenburger Straße;15;26203;Wardenburg;;Richter;;1960-12-22 00:00:00;;elias.richter@ibs-ol.de;Germany;Elias
14;Hauptstraße;22;26215;Wiefelstede;;Winkler;;1993-01-02 00:00:00;;marie.winkler@ibs-ol.de;Germany;Marie
15;Hauptstraße;30;26188;Edewecht;;Schulz;;1987-04-14 00:00:00;;benjamin.schulz@ibs-ol.de;Germany;Benjamin
16;Sögestraße;33;28195;Bremen;;Schmidt;;1996-11-18 00:00:00;;laura.schmidt@ibs-ol.de;Germany;Laura
17;Georgstraße;20;30159;Hannover;;Klein;;1991-03-20 00:00:00;;niklas.klein@ibs-ol.de;Germany;Niklas
18;Poststraße;41;26121;Oldenburg;;SchÃ¤fer;;1999-07-01 00:00:00;;anna.schaefer@ibs-ol.de;Germany;Anna
19;Ritterstraße;9;26123;Oldenburg;;Mayer;;1970-09-11 00:00:00;;tom.mayer@ibs-ol.de;Germany;Tom
20;Theaterwall;17;26125;Oldenburg;;BÃ¶hm;;1982-10-05 00:00:00;;jana.boehm@ibs-ol.de;Germany;Jana
21;Lambertistraße;23;26127;Oldenburg;;Haas;;1968-06-18 00:00:00;;leon.haas@ibs-ol.de;Germany;Leon
22;Gaststraße;35;26129;Oldenburg;;Seidel;;1997-12-30 00:00:00;;lara.seidel@ibs-ol.de;Germany;Lara
23;Mottenstraße;14;26121;Oldenburg;;Dietrich;;1986-02-09 00:00:00;;tim.dietrich@ibs-ol.de;Germany;Tim
24;Bergstraße;26;26123;Oldenburg;;Kunz;;1994-04-13 00:00:00;;julia.kunz@ibs-ol.de;Germany;Julia
25;Friedensplatz;8;26125;Oldenburg;;Wolff;;1977-11-27 00:00:00;;philipp.wolff@ibs-ol.de;Germany;Philipp
26;Herbartgang;3;26127;Oldenburg;;Lange;;2000-05-03 00:00:00;;sara.lange@ibs-ol.de;Germany;Sara
27;Julius-Mosen-Platz;11;26129;Oldenburg;;Hartmann;;1955-08-12 00:00:00;;tobias.hartmann@ibs-ol.de;Germany;Tobias
28;Lange Straße;18;26160;Bad Zwischenahn;;Vogel;;1998-09-16 00:00:00;;clara.vogel@ibs-ol.de;Germany;Clara
29;Oldenburger Straße;7;26180;Rastede;;Schuster;;1972-06-26 00:00:00;;julian.schuster@ibs-ol.de;Germany;Julian
30;Friedrichstraße;22;26203;Wardenburg;;Heinrich;;1991-11-22 00:00:00;;nina.heinrich@ibs-ol.de;Germany;Nina
31;Petkumer Straße;13;26215;Wiefelstede;;Brandt;;1966-03-14 00:00:00;;fabian.brandt@ibs-ol.de;Germany;Fabian
32;Holljestraße;9;26188;Edewecht;;Busch;;1989-12-28 00:00:00;;melanie.busch@ibs-ol.de;Germany;Melanie
33;Jungfernstieg;30;20354;Hamburg;;KÃ¶nig;;1979-02-15 00:00:00;;kevin.koenig@ibs-ol.de;Germany;Kevin
34;Unter den Linden;26;10117;Berlin;;Menzel;;1995-07-07 00:00:00;;lisa.menzel@ibs-ol.de;Germany;Lisa
35;Staulinie;5;26121;Oldenburg;;Otto;;1963-05-30 00:00:00;;christian.otto@ibs-ol.de;Germany;Christian
36;Scheideweg;18;26123;Oldenburg;;Kraus;;1981-09-18 00:00:00;;vanessa.kraus@ibs-ol.de;Germany;Vanessa
37;Heiligengeistwall;12;26125;Oldenburg;;Wirth;;1984-11-09 00:00:00;;noah.wirth@ibs-ol.de;Germany;Noah
38;Industriestraße;37;26127;Oldenburg;;KrÃ¼ger;;2002-02-25 00:00:00;;lena.krueger@ibs-ol.de;Germany;Lena
39;Nadorster Straße;55;26129;Oldenburg;;Maurer;;1976-07-14 00:00:00;;samuel.maurer@ibs-ol.de;Germany;Samuel
40;Melkbrink;9;26121;Oldenburg;;Heinz;;1983-08-19 00:00:00;;marlene.heinz@ibs-ol.de;Germany;Marlene
41;Ehnernstraße;14;26123;Oldenburg;;Schuster;;1952-12-03 00:00:00;;daniel.schuster@ibs-ol.de;Germany;Daniel
42;Stedinger Straße;28;26125;Oldenburg;;Ebert;;1990-03-29 00:00:00;;johanna.ebert@ibs-ol.de;Germany;Johanna
43;Klingenbergstraße;7;26127;Oldenburg;;Meier;;1988-05-21 00:00:00;;alexander.meier@ibs-ol.de;Germany;Alexander
44;Brommystraße;22;26129;Oldenburg;;Lindner;;1973-01-12 00:00:00;;isabella.lindner@ibs-ol.de;Germany;Isabella
45;Peterstraße;11;26160;Bad Zwischenahn;;Hermann;;1978-08-04 00:00:00;;stefan.hermann@ibs-ol.de;Germany;Stefan
46;Mühlenstraße;9;26180;Rastede;;Werner;;1992-06-17 00:00:00;;claudia.werner@ibs-ol.de;Germany;Claudia
47;Akazienstraße;16;26203;Wardenburg;;Friedrich;;1975-09-22 00:00:00;;marvin.friedrich@ibs-ol.de;Germany;Marvin
48;Am Markt;4;26215;Wiefelstede;;Frank;;1997-02-06 00:00:00;;helena.frank@ibs-ol.de;Germany;Helena
