EMPLOYEE_ID;HOUSE_NUMBER;CITY;POSTAL_CODE;COUNTRY;STREET;LASTNAME;FORENAME;MIDDLE_NAME;BIRTH_DATE;SALARY;IBAN;TAX_CLASS;WORKING_SINCE;WAREHOUSE_ID;ROLE_ID
1;10;Oldenburg;26121;Germany;Hauptstraße;Schmidt;Maria;;1975-05-15;5500.0;DE02280501000012345678;4;2010-01-01;;16
2;15;Oldenburg;26123;Germany;Bahnhofstraße;Müller;Thomas;;1980-08-23;4500.0;DE45280618220012345678;2;2012-03-15;;13
3;5;Oldenburg;26125;Germany;Marktplatz;Weber;Sabine;;1982-02-10;4500.0;DE23280400660012345678;2;2013-06-01;;14
4;3;Oldenburg;26127;Germany;Schlossplatz;Becker;Markus;;1985-04-05;3200.0;DE34280700240012345678;3;2015-09-01;;22
5;22;Oldenburg;26129;Germany;Alexanderstraße;Hoffmann;Lisa;;1988-11-18;3200.0;DE56280501000023456789;2;2016-03-15;;22
6;18;Oldenburg;26121;Germany;Staustraße;Koch;Jan;;1990-06-30;3000.0;DE78280618220023456789;3;2017-07-01;;22
7;7;Oldenburg;26123;Germany;Heiligengeiststraße;Fischer;Anna;;1992-09-12;3000.0;DE89280400660023456789;4;2018-02-15;;22
8;1;Oldenburg;26125;Germany;Achternstraße;Meyer;Felix;;1987-01-25;3100.0;DE12280700240023456789;4;2016-08-01;;22
9;12;Oldenburg;26127;Germany;Burgstraße;Wagner;Julia;;1986-03-08;3300.0;DE34280501000034567890;2;2014-05-15;;21
10;30;Oldenburg;26129;Germany;Donnerschweer Straße;Schäfer;Michael;;1984-07-22;3300.0;DE56280618220034567890;1;2013-11-01;;21
11;45;Oldenburg;26121;Germany;Nadorster Straße;Klein;Sandra;;1989-12-14;3200.0;DE78280400660034567890;1;2017-01-15;;21
12;60;Oldenburg;26123;Germany;Bremer Heerstraße;Richter;David;;1983-10-03;3500.0;DE90280700240034567890;2;2012-04-01;;18
13;33;Oldenburg;26125;Germany;Cloppenburger Straße;Bauer;Nina;;1991-06-19;3400.0;DE23280501000045678901;2;2018-09-15;;15
14;75;Oldenburg;26127;Germany;Ammerländer Heerstraße;Schulz;Tobias;;1988-02-27;3100.0;DE45280618220045678901;1;2017-03-01;;22
15;20;Oldenburg;26129;Germany;Ofener Straße;Krause;Laura;;1993-08-09;3000.0;DE67280400660045678901;5;2019-06-15;;22
16;55;Oldenburg;26121;Germany;Bloherfelder Straße;Schmitt;Philipp;;1985-04-16;3200.0;DE89280700240045678901;3;2015-10-01;;21
17;40;Oldenburg;26123;Germany;Hundsmühler Straße;Wolf;Katharina;;1987-11-28;3300.0;DE12280501000056789012;5;2016-05-15;;17
18;8;Oldenburg;26125;Germany;Altmarkt;Neumann;Simon;;1992-01-07;3000.0;DE34280618220056789012;1;2018-08-01;;22
19;17;Oldenburg;26127;Germany;Flinger Straße;Schwarz;Eva;;1990-03-21;3100.0;DE56280400660056789012;1;2017-04-15;;22
20;29;Oldenburg;26129;Germany;Marktplatz;Zimmermann;Andreas;;1986-09-13;3200.0;DE78280700240056789012;1;2014-07-01;;21
21;14;Oldenburg;26121;Germany;Römerberg;Braun;Melanie;;1989-07-02;3400.0;DE90280501000067890123;3;2016-11-15;;7
22;36;Oldenburg;26123;Germany;Karmarschstraße;Hartmann;Christian;;1991-12-24;3000.0;DE23280618220067890123;1;2019-02-01;;22
23;23;Oldenburg;26125;Germany;Kämmererstraße;Lange;Stefanie;;1988-05-11;3100.0;DE45280400660067890123;4;2017-09-15;;22
24;11;Oldenburg;26127;Germany;Nürnberger Straße;Werner;Marcel;;1984-10-29;3300.0;DE67280700240067890123;1;2013-06-01;;21
25;42;Oldenburg;26129;Germany;Elberfelder Straße;Schmitz;Carolin;;1993-08-06;3200.0;DE89280501000078901234;4;2020-01-15;;19
26;50;Oldenburg;26121;Germany;Obere Königsstraße;Krüger;Florian;;1987-02-17;3100.0;DE12280618220078901234;2;2016-04-01;;22
27;19;Oldenburg;26123;Germany;Münsterplatz;Hofmann;Jessica;;1990-06-30;3000.0;DE34280400660078901234;2;2018-10-15;;22
28;31;Oldenburg;26125;Germany;Kuhstraße;Schröder;Daniel;;1985-11-15;3200.0;DE56280700240078901234;2;2015-03-01;;21
29;27;Oldenburg;26127;Germany;Schildergasse;Huber;Tanja;;1992-04-04;3300.0;DE78280501000089012345;4;2019-07-15;;2
30;38;Oldenburg;26129;Germany;Alexanderstraße;Berger;Maximilian;;1988-09-20;3400.0;DE90280618220089012345;5;2016-12-01;;20
